Theme,Sub-Theme,Feature Name,URL,longitude,latitude
Place Of Assembly,Art Gallery/Museum,Australian Centre for Contemporary Art,https://www.tripadvisor.com.au/Attraction_Review-g255100-d2060380-Reviews-Australian_Centre_for_Contemporary_Art-Melbourne_Victoria.html,144.9672529,-37.82660454
Place Of Assembly,Theatre Live,Malthouse Theatre,https://www.tripadvisor.com.au/Attraction_Review-g255100-d12834079-Reviews-Malthouse_Theatre-Melbourne_Victoria.html,144.9669368,-37.8271768
Place of Worship,Church,St Patricks Cathedral,https://www.tripadvisor.com.au/Attraction_Review-g255100-d257671-Reviews-St_Patrick_s_Cathedral-Melbourne_Victoria.html,144.9759015,-37.8101141
Place Of Assembly,Art Gallery/Museum,Victorian Arts Centre,https://www.tripadvisor.com.au/Attraction_Review-g255100-d257322-Reviews-Arts_Centre_Melbourne-Melbourne_Victoria.html,144.9688373,-37.82199473
Office,Office,Parliament House,https://www.tripadvisor.com.au/Attraction_Review-g255100-d291639-Reviews-Parliament_House_of_Victoria-Melbourne_Victoria.html,144.9737264,-37.81124666
Community Use,Public Buildings,Melbourne Town Hall,https://www.tripadvisor.com.au/Attraction_Review-g255100-d592672-Reviews-Melbourne_Town_Hall-Melbourne_Victoria.html,144.9665427,-37.81507548
Office,Office,Former Royal Mint,https://www.workingheritage.com.au/places/former-royal-mint,144.9570555,-37.81218387
Mixed Use,Retail/Office,DFO South Wharf,https://www.tripadvisor.com.au/Attraction_Review-g255100-d3451505-Reviews-DFO_South_Wharf-Melbourne_Victoria.html,144.9497943,-37.8248874
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Queen Victoria Gardens,https://www.tripadvisor.com.au/Attraction_Review-g255100-d7613337-Reviews-Queen_Victoria_Gardens-Melbourne_Victoria.html,144.9710495,-37.82163812
Community Use,Public Buildings,Sidney Myer Music Bowl,https://www.tripadvisor.com.au/Attraction_Review-g255100-d258076-Reviews-Sidney_Myer_Music_Bowl-Melbourne_Victoria.html,144.9746862,-37.82334716
Purpose Built,Casino,Crown Entertainment Complex,https://www.tripadvisor.com.au/Restaurant_Review-g255100-d722657-Reviews-Breezes_at_Crown_Complex-Melbourne_Victoria.html,144.9573129,-37.82357611
Health Services,Public Hospital,The Royal Victorian Eye & Ear Hospital,https://eyeandear.org.au/,144.9762683,-37.80875228
Office,Office,SBS (Special Broadcasting Service),https://www.sbs.com.au/,144.9687406,-37.81769212
Place Of Assembly,Art Gallery/Museum,The Ian Potter Centre: NGV Australia,https://www.tripadvisor.com.au/Attraction_Review-g255100-d4591318-Reviews-The_Ian_Potter_Centre_NGV_Australia-Melbourne_Victoria.html,144.969899,-37.81748314
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Federation Square,https://www.tripadvisor.com.au/Attraction_Review-g255100-d266090-Reviews-Federation_Square-Melbourne_Victoria.html,144.9689636,-37.81785166
Place Of Assembly,Art Gallery/Museum,Thoroughbred Racing Gallery,https://www.tripadvisor.com.au/Attraction_Review-g255100-d4090020-Reviews-Auscarts_Indoor_Racing-Melbourne_Victoria.html,144.9839701,-37.81886627
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),New Quay,https://www.tripadvisor.com.au/Restaurant_Review-g255100-d1474051-Reviews-New_Quay_International_Buffet_Bar-Melbourne_Victoria.html,144.9416179,-37.81521788
Purpose Built,Film & RV Studio,Central City Studios,https://www.onlymelbourne.com.au/melbourne-central-city-studios,144.9356553,-37.81423185
Purpose Built,Film & RV Studio,Channel 7 - Melbourne Broadcast Centre,https://www.tripadvisor.com.au/Restaurant_Review-g255100-d6883470-Reviews-Broadcast_Cafe-Melbourne_Victoria.html,144.9458233,-37.81585723
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Docklands Park,https://www.tripadvisor.com.au/Attraction_Review-g255100-d15556062-Reviews-Docklands_Park-Melbourne_Victoria.html,144.9467817,-37.82099568
Mixed Use,Retail/Office,Waterfront City,https://www.tripadvisor.com.au/Restaurant_Review-g255100-d10295955-Reviews-The_Coffee_Club_Waterfront_City_Docklands-Melbourne_Victoria.html,144.9391369,-37.81505666
Vacant Land,Current Construction Site,Harbour Town,https://www.tripadvisor.com.au/Restaurant_Review-g255100-d4343842-Reviews-Harbour_Town_Hotel-Melbourne_Victoria.html,144.9381238,-37.81392563
Leisure/Recreation,Major Sports & Recreation Facility,AAMI Park,https://www.tripadvisor.com.au/Attraction_Review-g255100-d2086137-Reviews-AAMI_Park-Melbourne_Victoria.html,144.983803,-37.82472527
Transport,Marina,New Quay Marina,https://www.tripadvisor.com.au/Restaurant_Review-g255100-d1474051-Reviews-New_Quay_International_Buffet_Bar-Melbourne_Victoria.html,144.9422837,-37.81529255
Place Of Assembly,Function/Conference/Exhibition Centre,Central Pier,https://thecentralpier.com.au/,144.943475,-37.81651773
Leisure/Recreation,Observation Tower/Wheel,Melbourne Star Observation Wheel,https://www.tripadvisor.com.au/Attraction_Review-g255100-d5960757-Reviews-Melbourne_Star_Observation_Wheel-Melbourne_Victoria.html,144.9375889,-37.81161637
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Point Park,https://www.tripadvisor.com.au/Attraction_Review-g255100-d14019098-Reviews-Point_Park-Melbourne_Victoria.html,144.9421023,-37.82335227
Education Centre,Primary Schools,Kensington Primary School,https://kensingtonps.wa.edu.au/,144.9271087,-37.7925235
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Newmarket Reserve,https://www.tripadvisor.com.au/Attraction_Review-g255100-d14838516-Reviews-Newmarket_Reserve-Melbourne_Victoria.html,144.9229721,-37.78784733
Health Services,Public Hospital,Royal Womens Hospital,https://www.thewomens.org.au/,144.9548973,-37.79888925
Education Centre,Further Education,Kangan Batman Tafe,https://www.lyonsarch.com.au/project/kangan-batman-tafe-automotive-centre-of-excellence/,144.9489085,-37.82218182
Place Of Assembly,Art Gallery/Museum,Fox Classic Car Collection,https://www.tripadvisor.com.au/Attraction_Review-g255100-d3167240-Reviews-Fox_Classic_Car_Collection-Melbourne_Victoria.html,144.9484967,-37.82137443
Specialist Residential Accommodation,Hostel,The Mission To Seafarers Victoria,https://www.tripadvisor.com.au/Attraction_Review-g255100-d9867953-Reviews-Mission_to_Seafarers-Melbourne_Victoria.html,144.9512548,-37.8224996
Vacant Land,Current Construction Site - Commercial,Railway Good Shed No 2,https://www.tripadvisor.com.au/Attraction_Review-g255100-d12191999-Reviews-No_2_Goods_Shed-Melbourne_Victoria.html,144.9513789,-37.82113713
Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Wonderland Park,https://www.wonderlandfunpark.com.au/,144.9368337,-37.81169454
Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,https://www.tripadvisor.com.au/Attraction_Review-g255100-d2337573-Reviews-Rod_Laver_Arena-Melbourne_Victoria.html,144.9784872,-37.82204561
Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Park,https://www.development.vic.gov.au/projects/melbourne-park-redevelopment?page=overview,144.9787358,-37.8209086
Leisure/Recreation,Major Sports & Recreation Facility,Margaret Court Arena,https://www.tripadvisor.com.au/Attraction_Review-g255100-d15773073-Reviews-Margaret_Court_Arena-Melbourne_Victoria.html,144.9775911,-37.82132521
Leisure/Recreation,Major Sports & Recreation Facility,Hisense Arena,https://www.tripadvisor.com.au/Attraction_Review-g255100-d15787823-Reviews-Melbourne_Arena-Melbourne_Victoria.html,144.9818348,-37.82311
Place Of Assembly,Art Gallery/Museum,Melbourne Museum,https://www.tripadvisor.com.au/Attraction_Review-g255100-d256845-Reviews-Melbourne_Museum-Melbourne_Victoria.html,144.9716907,-37.80355181
Place Of Assembly,Cinema,IMAX Melbourne,https://www.tripadvisor.com.au/Attraction_Review-g255100-d1943573-Reviews-IMAX_Melbourne_Museum-Melbourne_Victoria.html,144.9706399,-37.80343156
Community Use,Public Buildings,Melbourne Theatre Company,https://www.mtc.com.au/,144.9682974,-37.82393038
Place Of Assembly,Theatre Live,MTC Theatre,https://www.tripadvisor.com.au/Attraction_Review-g34433-d4067222-Reviews-Melbourne_Civic_Theatre-Melbourne_Brevard_County_Florida.html,144.9681744,-37.82426618
Community Use,Public Buildings,Elisabeth Murdoch Hall,https://www.melbournerecital.com.au/venues/emh/,144.967451,-37.82397337
Community Use,Public Buildings,Melbourne Recital Centre,https://www.tripadvisor.com.au/Attraction_Review-g255100-d2069949-Reviews-Melbourne_Recital_Centre-Melbourne_Victoria.html,144.9676827,-37.82383279
Community Use,Public Buildings,NGV International,https://www.tripadvisor.com.au/Attraction_Review-g255100-d256558-Reviews-National_Gallery_of_Victoria-Melbourne_Victoria.html,144.9693425,-37.8230135
